order_id,order_date,customer_id,gender,region,category,product,quantity,unit_price,discount,customer_age,status,order_month,revenue_actual
O001,2025-01-03,C001,male,North,Technology,Laptop,1,1250.0,0.05,35,Delivered,2025-01,1187.5
O002,2025-01-05,C002,male,South,Furniture,Office Chair,2,180.0,0.1,42,Delivered,2025-01,324.0
O003,2025-01-07,C003,male,north,Office Supplies,Printer Paper,5,12.5,0.0,33,Delivered,2025-01,62.5
O004,,C004,female,Central ,Technology,Headset,3,45.0,0.05,29,Delayed,,128.25
O005,2025-01-11,C005,female,South,Furniture,Desk,1,350.0,0.15,31,delivered,2025-01,297.5
O006,,C006,female,West,Technology,Monitor,2,220.0,0.08,33,Delivered,,404.8
O007,2025-01-18,C007,male,Central,Office Supplies,Notebook,10,0.0,0.0,22,Cancelled,2025-01,0.0
O008,2025-01-20,C008,male,North,Technology,Mouse,2,18.0,0.0,28,Delivered,2025-01,36.0
O009,2025-01-23,C009,unknown,West,Furniture,Cabinet,1,480.0,0.12,33,Delayed,2025-01,422.4
O010,2025-01-25,C010,female,South,Office Supplies,Pen Set,8,6.0,0.0,37,,2025-01,48.0
O011,2025-02-02,C011,male,NORTH,Technology,Tablet,1,550.0,0.0,40,Delivered,2025-02,550.0
O012,2025-02-04,C012,female,Central,Furniture,Meeting Table,1,900.0,0.2,33,Delivered,2025-02,720.0
