order_id,order_date,customer_id,product_id,quantity,discount,status
O001,2025-01-03,C001,P001,1,0.05,Delivered
O002,2025-01-05,C002,P002,2,0.1,Delivered
O003,2025-01-07,C003,P003,5,0.0,Delivered
O004,2025-01-09,C004,P004,3,0.05,Delayed
O005,2025-01-11,C005,P005,1,0.15,Delivered
O006,2025-01-15,C006,P006,2,0.08,Delivered
O007,2025-01-18,C007,P007,10,0.0,Cancelled
O008,2025-01-20,C008,P008,4,0.0,Delivered
O009,2025-01-23,C009,P009,1,0.12,Delayed
O010,2025-01-25,C010,P010,8,0.0,Delivered
O011,2025-02-02,C011,P011,1,0.05,Delivered
O012,2025-02-04,C012,P012,1,0.2,Delivered
O013,2025-02-07,C013,P013,3,0.0,Delivered
O014,2025-02-10,C014,P014,2,0.05,Delivered
O015,2025-02-13,C015,P015,12,0.0,Delivered
